T_low,T_high,Radius,Top_N,Dice,Hausdorff
0,90,1,2,0.8900257044269368,32.0
0,85,1,2,0.889758532435935,32.0
0,90,1,3,0.8896460414196917,32.0
0,85,1,3,0.8896058353820477,32.0
0,80,1,2,0.8895155765680248,32.0
0,80,2,2,0.8894765398760784,32.0
0,80,1,3,0.8894593160695612,32.0
0,80,2,3,0.889112094531781,32.0
0,95,1,2,0.8886382139696364,32.0
0,95,1,3,0.8884343562795517,32.0
0,85,2,2,0.8880765821647303,32.0
0,85,2,3,0.8880252608997827,32.0
0,100,1,2,0.8875239511005775,32.0
0,100,1,3,0.8875113601740453,32.0
0,90,2,3,0.8869942696032902,32.0
0,90,2,2,0.886989884820895,32.0
0,105,1,2,0.8865412506879888,32.0
0,105,1,3,0.8865342994177923,32.0
0,95,2,3,0.8859334467317214,32.0
0,95,2,2,0.8859314917801693,32.0
0,110,1,3,0.8856353756912779,32.0
0,110,1,2,0.8856351576890976,32.0
0,100,2,3,0.8850596449917901,32.0
0,100,2,2,0.8850576888884827,32.0
0,105,2,2,0.8844883556258165,32.0
0,105,2,3,0.8844825904231847,32.0
0,110,2,3,0.8839546082241948,32.0
0,110,2,2,0.8839532272145824,32.0
5,80,2,2,0.7689305634702723,40.620192023179804
5,80,2,3,0.7685835531798411,40.620192023179804
5,85,2,3,0.7679721146510875,40.620192023179804
5,85,2,2,0.7679111467107317,40.620192023179804
5,90,2,3,0.7672856980020576,40.620192023179804
5,90,2,2,0.7672591463916368,40.620192023179804
5,95,2,3,0.7665736329756916,40.620192023179804
5,95,2,2,0.7665471309743905,40.620192023179804
5,100,2,3,0.7660769007144487,40.620192023179804
5,100,2,2,0.7660504496380351,40.620192023179804
5,105,2,3,0.7658712158635357,40.620192023179804
5,105,2,2,0.7658448122594017,40.620192023179804
5,110,2,3,0.7656312129204509,40.620192023179804
5,110,2,2,0.7656048497600509,40.620192023179804
5,90,1,2,0.6387355065078529,46.32493928760188
5,90,1,3,0.6384126066058253,46.32493928760188
5,95,1,2,0.6381282091490653,46.32493928760188
5,95,1,3,0.6379505325352451,46.32493928760188
5,85,1,2,0.6378866537724889,46.32493928760188
5,100,1,3,0.6378669494542193,46.32493928760188
5,100,1,2,0.6378061534160656,46.32493928760188
5,85,1,3,0.6377615182655835,46.32493928760188
5,105,1,3,0.6376391595778221,46.32493928760188
5,105,1,2,0.6376213685382047,46.32493928760188
5,110,1,3,0.6375119818689005,46.32493928760188
5,110,1,2,0.6374942349380696,46.32493928760188
5,80,1,2,0.6370585184111914,46.32493928760188
5,80,1,3,0.6370145957882264,46.32493928760188
10,110,2,3,0.3156079240900025,73.92563831310488
10,110,2,2,0.3150804603273443,73.92563831310488
10,105,2,3,0.314435802392123,73.92563831310488
10,105,2,2,0.3139104615254258,73.92563831310488
10,100,2,3,0.31316914866575263,73.92563831310488
10,100,2,2,0.3126418957886697,73.92563831310488
10,95,2,3,0.3119637801420525,73.92563831310488
10,95,2,2,0.3114410266749072,73.92563831310488
10,90,2,3,0.3108741761033152,73.92563831310488
10,90,2,2,0.31035140473990874,73.92563831310488
10,85,2,3,0.3094199046649343,73.92563831310488
10,80,2,3,0.30850741021456,73.92563831310488
10,85,2,2,0.30402437733128,73.92563831310488
10,80,2,2,0.3022893532060606,73.92563831310488
10,110,1,3,0.12730198161813205,103.4842983258813
10,110,1,2,0.12679269394174994,116.70047129296437
10,105,1,3,0.12651479495559534,103.4842983258813
10,105,1,2,0.12604563525309184,116.70047129296437
10,100,1,3,0.12488308102383859,116.70047129296437
10,95,1,3,0.12370626051529808,116.70047129296437
10,90,1,3,0.12280494851294649,116.70047129296437
10,85,1,3,0.12178072685303734,117.11959699384215
10,80,1,3,0.12068441135239015,117.11959699384215
10,90,1,2,0.11758746047178703,116.70047129296437
10,85,1,2,0.11666979890997933,117.11959699384215
10,80,1,2,0.11572437109962616,117.11959699384215
10,100,1,2,0.1153749857155167,126.43970895252804
10,95,1,2,0.11509898693952732,126.43970895252804
