trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
85,4,0,0,1,1,0.9765839600126086,26.0,0.9505839600126086
112,4,0,0,3,1,0.968131036631504,26.0,0.942131036631504
159,5,0,0,3,1,0.9658621536537989,26.0,0.9398621536537989
157,5,0,0,3,1,0.9658621536537989,26.0,0.9398621536537989
158,5,0,0,3,1,0.9658621536537989,26.0,0.9398621536537989
399,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
352,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
353,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
354,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
355,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
