trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
192,22,1,4,2,27.318285882573413,1,0.9512987740648603,26.0,0.9252987740648603
298,24,1,4,2,26.059732225782184,1,0.951279637846802,26.0,0.925279637846802
204,30,1,4,2,30.408750831879104,1,0.9512752700703752,26.0,0.9252752700703751
301,24,1,4,2,25.399462493214312,1,0.9512118632677747,26.0,0.9252118632677747
207,30,1,4,2,25.730614632942356,1,0.9511883694361686,26.0,0.9251883694361686
361,25,1,4,2,55.52710748613065,1,0.9511714375307978,26.0,0.9251714375307978
279,29,1,4,2,25.6392453906044,1,0.9511178816255209,26.0,0.9251178816255209
308,24,1,4,2,25.23063296189107,1,0.9510997511266563,26.0,0.9250997511266563
290,24,1,4,2,25.61060998200261,1,0.9510248015428084,26.0,0.9250248015428084
374,25,1,3,2,58.08024288679778,1,0.9510175999289788,26.0,0.9250175999289788
208,20,1,4,2,25.698731133269167,1,0.9509894000851579,26.0,0.9249894000851578
195,22,1,4,2,25.968903200894555,1,0.9509894000851579,26.0,0.9249894000851578
21,25,1,4,2,22.60274149505627,1,0.9509724836425563,26.0,0.9249724836425562
281,25,1,3,2,26.2449585405119,1,0.9509666822046126,26.0,0.9249666822046125
300,24,1,4,2,25.379185087360327,1,0.9509313846360763,26.0,0.9249313846360763
330,24,1,3,2,24.561931360283978,1,0.950920109214411,26.0,0.9249201092144109
390,25,1,3,2,58.56026553041177,1,0.9509186118753883,26.0,0.9249186118753883
369,25,1,3,2,58.251364628238264,1,0.9509186118753883,26.0,0.9249186118753883
338,24,1,4,2,23.641264431774555,1,0.9509019607843138,26.0,0.9249019607843137
389,25,1,3,2,23.48956314308221,1,0.9508968211685314,26.0,0.9248968211685313
363,25,1,3,2,23.564140404883215,1,0.9508968211685314,26.0,0.9248968211685313
373,25,1,3,2,23.099500883357095,1,0.9508968211685314,26.0,0.9248968211685313
276,29,1,3,2,26.042940603006077,1,0.9508676934002042,26.0,0.9248676934002041
292,25,1,3,2,25.763567684926606,1,0.9508676934002042,26.0,0.9248676934002041
352,29,1,4,2,23.752535921806945,1,0.9508601161773611,26.0,0.9248601161773611
205,30,1,4,2,21.055738514972237,1,0.9508284939124195,26.0,0.9248284939124195
198,25,1,4,2,20.704262630584886,1,0.9508284939124195,26.0,0.9248284939124195
339,25,1,3,2,24.057944963840985,1,0.9508211273857079,26.0,0.9248211273857079
311,24,1,3,2,24.774405638898035,1,0.9508211273857079,26.0,0.9248211273857079
310,24,1,3,2,24.899990570853912,1,0.9508167613636364,26.0,0.9248167613636363
376,25,1,3,2,23.633509647534325,1,0.9507978428282918,26.0,0.9247978428282918
354,29,1,3,2,23.13930393071199,1,0.9507978428282918,26.0,0.9247978428282918
342,25,1,3,2,23.415508842401632,1,0.9507978428282918,26.0,0.9247978428282918
202,30,1,4,2,20.958426521736914,1,0.9507608866178086,26.0,0.9247608866178085
371,25,1,3,2,57.81043360850833,1,0.9507498447067175,26.0,0.9247498447067175
348,25,1,3,2,55.16301678795045,1,0.9507331248197689,26.0,0.9247331248197689
351,29,1,4,2,23.63509934132407,1,0.9507196986682211,26.0,0.9247196986682211
358,25,1,3,2,56.72515927277428,1,0.9507120358457921,26.0,0.9247120358457921
333,24,1,4,2,23.557273765209583,1,0.9507028044925684,26.0,0.9247028044925684
199,24,1,4,2,20.698768757179362,1,0.9506837032055593,26.0,0.9246837032055593
304,24,1,3,2,25.65118003308436,1,0.9506806119956477,26.0,0.9246806119956477
283,24,1,3,2,25.667260940674133,1,0.9506806119956477,26.0,0.9246806119956477
203,30,1,4,2,20.34137079602769,1,0.9506668160932422,26.0,0.9246668160932422
305,24,1,3,2,25.140412739954172,1,0.9506567270145545,26.0,0.9246567270145545
296,25,1,3,2,25.629053315543246,1,0.950640015972669,26.0,0.924640015972669
347,25,1,3,2,24.253521397219576,1,0.9506340076835957,26.0,0.9246340076835957
262,24,1,3,1,24.97346404558154,1,0.9510250056318991,26.40075756488817,0.9246242480670109
274,24,1,3,2,25.659897747564465,1,0.9506189271928657,26.0,0.9246189271928656
391,25,1,3,2,58.33181772850615,1,0.9506170104348982,26.0,0.9246170104348982
319,24,1,3,2,24.652378205957675,1,0.9505934553521908,26.0,0.9245934553521907
324,24,1,3,2,24.871945505065963,1,0.9505934553521908,26.0,0.9245934553521907
364,25,1,3,2,23.421688929026878,1,0.9505868778983336,26.0,0.9245868778983336
