trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
192,22,1,4,2,27.318285882573413,1,0.9512987740648603,26.0,0.9252987740648603
298,24,1,4,2,26.059732225782184,1,0.951279637846802,26.0,0.925279637846802
204,30,1,4,2,30.408750831879104,1,0.9512752700703752,26.0,0.9252752700703751
301,24,1,4,2,25.399462493214312,1,0.9512118632677747,26.0,0.9252118632677747
207,30,1,4,2,25.730614632942356,1,0.9511883694361686,26.0,0.9251883694361686
361,25,1,4,2,55.52710748613065,1,0.9511714375307978,26.0,0.9251714375307978
279,29,1,4,2,25.6392453906044,1,0.9511178816255209,26.0,0.9251178816255209
308,24,1,4,2,25.23063296189107,1,0.9510997511266563,26.0,0.9250997511266563
290,24,1,4,2,25.61060998200261,1,0.9510248015428084,26.0,0.9250248015428084
374,25,1,3,2,58.08024288679778,1,0.9510175999289788,26.0,0.9250175999289788
